City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Condition
258,Fomboni,KM,-12.28,43.7425,75.24,73,0,12.03,clear sky
259,Mar Del Plata,AR,-38.0023,-57.5575,53.1,98,100,7.0,fog
260,Hisua,IN,24.8333,85.4167,81.57,77,98,8.28,overcast clouds
261,Krasnaya Polyana,RU,56.242,51.1442,72.25,65,99,2.91,overcast clouds
262,Sakakah,SA,29.9697,40.2064,98.17,14,0,10.98,clear sky
263,Pishin,PK,30.5803,66.9961,77.97,55,100,11.97,overcast clouds
264,Kryve Ozero,UA,47.9524,30.3493,75.2,41,99,5.19,overcast clouds
265,Ilulissat,GL,69.2167,-51.1,46.42,93,40,5.75,scattered clouds
266,Lexington Park,US,38.2668,-76.4538,94.95,67,40,10.36,scattered clouds
267,Faro,PT,37.0194,-7.9322,94.17,37,0,11.5,clear sky
268,Marsa Matruh,EG,31.3525,27.2453,80.8,69,0,13.8,clear sky
269,Palmeirais,BR,-5.9778,-43.0633,96.73,25,100,7.43,overcast clouds
270,Shasta Lake,US,40.6804,-122.3708,99.75,16,0,2.84,clear sky
271,Kalnciems,LV,56.8011,23.6097,66.02,69,8,8.57,clear sky
272,Vila Franca Do Campo,PT,37.7167,-25.4333,73.81,80,83,5.39,broken clouds
273,Kharp,RU,66.8014,65.8081,49.87,87,100,9.08,overcast clouds
274,Daru,PG,-9.0763,143.2092,76.62,90,99,14.88,overcast clouds
275,Mogadishu,SO,2.0371,45.3438,75.87,83,65,18.37,broken clouds
276,Karratha,AU,-20.7377,116.8463,65.23,46,0,13.06,clear sky
277,San Patricio,US,28.017,-97.5169,98.19,42,0,20.11,clear sky
278,Baoshan,CN,46.5586,131.4244,62.73,98,100,4.29,overcast clouds
279,Port Blair,IN,11.6667,92.75,78.84,94,40,2.3,mist
280,Port Hedland,AU,-20.3167,118.5667,59.05,67,0,8.05,clear sky
281,Svetlaya,RU,46.5389,138.3297,59.97,95,15,1.95,few clouds
282,Kenora,CA,49.8167,-94.4337,59.97,58,75,16.11,broken clouds
283,Ostrovnoy,RU,68.0531,39.5131,50.27,87,85,12.71,overcast clouds
284,Mikhaylov,RU,54.2292,39.0186,71.71,63,100,4.83,overcast clouds
285,Kazanlak,BG,42.6167,25.4,79.61,35,47,6.06,scattered clouds
286,Miles City,US,46.4083,-105.8406,83.37,34,0,10.36,clear sky
287,Fortuna,US,40.5982,-124.1573,61.66,74,18,6.89,few clouds
288,Eyl,SO,7.9803,49.8164,77.36,77,69,23.0,broken clouds
289,Lompoc,US,34.6391,-120.4579,68.85,75,75,8.99,broken clouds
290,Balikpapan,ID,-1.2675,116.8289,81.59,83,40,6.91,scattered clouds
291,Souillac,MU,-20.5167,57.5167,68.38,77,75,8.05,broken clouds
292,Norman Wells,CA,65.282,-126.8329,68.04,49,20,8.05,few clouds
293,Aljezur,PT,37.3191,-8.8033,75.09,60,41,11.21,scattered clouds
294,Puerto Palomas,MX,31.7667,-107.6167,92.34,28,0,6.51,clear sky
295,Nukus,UZ,42.4531,59.6103,85.98,30,0,4.61,clear sky
296,Kuala Pilah,MY,2.7389,102.2487,74.21,97,100,1.21,overcast clouds
297,Komsomolskiy,UZ,40.4272,71.7189,90.32,13,0,4.61,clear sky
298,San Policarpo,PH,12.1791,125.5072,79.5,83,97,3.13,overcast clouds
299,Aklavik,CA,68.2191,-135.0107,50.0,87,100,0.0,shower rain
300,Vao,NC,-22.6667,167.4833,72.21,74,100,13.65,overcast clouds
301,Carnarvon,AU,-24.8667,113.6333,58.68,50,0,16.28,clear sky
302,Husavik,IS,66.0449,-17.3389,48.81,82,100,6.17,overcast clouds
303,Gornopravdinsk,RU,60.05,69.9,58.86,60,98,4.65,overcast clouds
304,Bhadrachalam,IN,17.6667,80.8833,76.86,93,100,1.99,heavy intensity rain
305,Green River,US,41.5286,-109.4662,68.4,22,99,17.0,overcast clouds
306,Lalmohan,BD,22.3384,90.7419,80.08,87,100,10.47,overcast clouds
307,Champerico,GT,14.3,-91.9167,90.14,74,99,3.89,overcast clouds
308,Cherskiy,RU,68.75,161.3,52.38,48,100,5.48,overcast clouds
309,Adrar,MR,20.5022,-10.0711,104.67,6,4,9.89,clear sky
310,San Cristobal,VE,7.7669,-72.225,78.98,41,100,7.74,overcast clouds
311,Sawakin,SD,19.1059,37.3321,94.12,47,14,7.16,few clouds
312,Shiyan,CN,32.6475,110.7781,77.65,89,87,1.66,overcast clouds
313,Nizhnevartovsk,RU,60.9344,76.5531,53.62,100,0,2.24,clear sky
314,Gamboula,CF,4.1178,15.1393,70.36,95,100,1.54,overcast clouds
315,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,50.59,100,100,6.71,light intensity shower rain
316,Vestmannaeyjar,IS,63.4427,-20.2734,52.79,87,75,11.5,broken clouds
317,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,93.69,24,1,12.77,clear sky
318,Kosai,JP,34.7105,137.5316,77.86,85,100,2.89,overcast clouds
319,Marinette,US,45.1,-87.6307,80.69,50,75,10.36,broken clouds
320,Klaksvik,FO,62.2266,-6.589,52.72,94,100,27.13,light rain
