City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
170,Shingu,JP,33.7333,135.9833,81.81,63,79,3.2,broken clouds
171,Bismarck,US,46.8083,-100.7837,79.66,44,0,13.8,clear sky
172,Hithadhoo,MV,-0.6,73.0833,81.32,71,100,2.26,overcast clouds
173,Akropong,GH,5.9746,-0.0854,69.15,85,95,5.57,overcast clouds
174,Strezhevoy,RU,60.7333,77.5889,50.09,85,100,9.89,overcast clouds
175,Narsaq,GL,60.9167,-46.05,45.57,87,87,3.62,overcast clouds
176,Busca,IT,44.5181,7.4743,76.44,91,1,3.44,clear sky
177,Sitka,US,57.0531,-135.33,56.41,89,100,4.76,overcast clouds
178,Lubango,AO,-14.9172,13.4925,58.59,35,1,5.32,clear sky
179,La Suiza,CR,9.8524,-83.6133,71.8,99,100,1.41,overcast clouds
180,Cabo San Lucas,MX,22.8909,-109.9124,78.51,89,94,4.56,overcast clouds
181,Fortuna,US,40.5982,-124.1573,66.76,63,16,9.24,few clouds
182,Hamilton,US,39.1834,-84.5333,86.81,63,0,6.91,clear sky
183,Olafsvik,IS,64.8945,-23.7142,51.48,86,64,8.23,broken clouds
184,Fare,PF,-16.7,-151.0167,79.43,74,0,14.34,clear sky
185,Makakilo City,US,21.3469,-158.0858,86.32,48,75,19.57,broken clouds
186,Tual,ID,-5.6667,132.75,79.02,81,81,13.27,broken clouds
187,Winnemucca,US,40.973,-117.7357,92.46,6,0,11.36,clear sky
188,Qunduz,AF,36.729,68.857,88.65,13,4,3.56,clear sky
189,Hasaki,JP,35.7333,140.8333,80.04,78,99,10.49,overcast clouds
190,Pevek,RU,69.7008,170.3133,36.14,84,97,5.21,overcast clouds
191,Vardo,NO,70.3705,31.1107,49.98,87,100,4.61,overcast clouds
192,Bensonville,LR,6.4461,-10.6125,74.37,84,100,4.29,overcast clouds
193,Strathpeffer,GB,57.588,-4.5382,60.3,97,100,3.06,overcast clouds
194,Constitucion,CL,-35.3333,-72.4167,54.03,90,100,1.05,moderate rain
195,Yatou,CN,37.15,122.3833,75.76,82,40,11.63,scattered clouds
196,Pitimbu,BR,-7.4706,-34.8086,73.99,87,80,15.08,broken clouds
197,Saldanha,ZA,-33.0117,17.9442,54.18,69,0,19.08,clear sky
198,Trairi,BR,-3.2778,-39.2689,79.0,79,41,12.12,scattered clouds
199,Cockburn Town,TC,21.4612,-71.1419,81.91,75,44,19.71,scattered clouds
200,Vilhena,BR,-12.7406,-60.1458,72.66,41,0,2.55,clear sky
201,Elat,IL,29.5581,34.9482,80.87,51,7,7.31,clear sky
202,Saint-Philippe,RE,-21.3585,55.7679,67.59,83,71,12.28,light rain
203,Turukhansk,RU,65.8167,87.9833,60.03,92,100,6.11,light rain
204,Gat,IL,31.61,34.7642,76.41,80,0,0.47,clear sky
205,Lewisporte,CA,49.2499,-55.0482,66.33,89,3,2.68,clear sky
206,Ubatuba,BR,-23.4339,-45.0711,68.99,70,70,2.62,broken clouds
207,Athens,GR,37.9795,23.7162,82.96,32,0,7.74,clear sky
208,Beisfjord,NO,68.3751,17.5988,53.04,96,72,2.17,broken clouds
209,Half Moon Bay,US,37.4636,-122.4286,87.55,72,100,9.22,overcast clouds
210,Wajima,JP,37.4,136.9,75.15,77,98,2.55,overcast clouds
211,Caririacu,BR,-7.0422,-39.2836,72.46,59,71,7.74,broken clouds
212,Mahebourg,MU,-20.4081,57.7,67.24,72,65,15.01,light rain
213,Kisangani,CD,0.5167,25.2,70.0,97,100,0.96,overcast clouds
214,Wahiawa,US,21.5028,-158.0236,79.63,58,1,12.71,clear sky
215,Saint-Leu,RE,-21.15,55.2833,69.31,72,47,1.36,scattered clouds
216,Port Blair,IN,11.6667,92.75,80.55,84,100,5.7,overcast clouds
217,Komsomolskiy,UZ,40.4272,71.7189,86.72,20,3,4.61,clear sky
218,Carnarvon,AU,-24.8667,113.6333,62.76,65,56,20.49,broken clouds
219,Te Anau,NZ,-45.4167,167.7167,44.89,81,56,0.83,broken clouds
220,Ahuimanu,US,21.4447,-157.8378,87.51,62,75,19.57,broken clouds
221,Okha,RU,53.5739,142.9478,63.28,72,27,11.39,scattered clouds
222,Normandin,CA,48.8333,-72.5321,69.13,69,61,4.68,broken clouds
223,Vuktyl,RU,63.8567,57.3094,49.01,91,45,2.17,scattered clouds
224,Ocos,GT,14.5094,-92.1933,82.58,77,79,7.87,broken clouds
225,Tiksi,RU,71.6872,128.8694,48.92,77,34,6.2,scattered clouds
226,La Grande,US,45.3246,-118.0877,88.0,26,0,11.14,clear sky
227,Yar-Sale,RU,66.8333,70.8333,50.83,75,97,19.44,overcast clouds
228,Pangnirtung,CA,66.1451,-65.7125,52.92,61,15,1.97,few clouds
229,Mazara Del Vallo,IT,37.6641,12.588,84.94,93,0,2.48,clear sky
230,Thohoyandou,ZA,-22.9456,30.485,59.58,62,1,3.67,clear sky
231,Tignere,CM,7.3667,12.65,63.99,97,100,1.05,overcast clouds
232,Bandarbeyla,SO,9.4942,50.8122,75.85,83,42,28.27,scattered clouds
233,Miyang,CN,24.4042,103.4428,64.89,97,74,3.83,broken clouds
