City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
161,Maneadero,31.7167,-116.5667,76.1,69,77,5.01,MX,2022-07-22 21:13:06
162,Karoi,-16.8099,29.6925,58.86,59,95,3.22,ZW,2022-07-22 21:13:06
163,Codrington,-38.2667,141.9667,51.26,94,100,12.82,AU,2022-07-22 21:13:07
164,Santa Rosa,14.3122,121.1114,80.58,90,79,4.76,PH,2022-07-22 21:13:07
165,Firminopolis,-16.5819,-50.305,76.95,32,14,4.18,BR,2022-07-22 21:13:08
166,Mahebourg,-20.4081,57.7,68.25,78,6,16.87,MU,2022-07-22 21:12:21
167,Batagay-Alyta,67.8006,130.4114,60.67,91,100,0.85,RU,2022-07-22 21:13:09
168,Mayo,38.8876,-76.5119,96.94,59,0,11.5,US,2022-07-22 21:13:09
169,Toora-Khem,52.4675,96.11,49.68,94,100,1.97,RU,2022-07-22 21:13:10
170,Yakeshi,49.2833,120.7333,61.29,86,67,7.49,CN,2022-07-22 21:13:10
171,Zlocieniec,53.5329,16.0113,63.9,82,58,2.93,PL,2022-07-22 21:13:11
172,Magistralnyy,56.1725,107.4458,57.13,98,100,1.88,RU,2022-07-22 21:13:11
173,Ugoofaaru,5.6667,73.0,81.59,78,100,17.36,MV,2022-07-22 21:13:12
174,San Cristobal,7.7669,-72.225,77.18,58,64,5.91,VE,2022-07-22 21:13:12
175,Krasnopavlivka,49.1372,36.3272,57.51,95,49,11.95,UA,2022-07-22 21:13:13
176,Komsomolskiy,40.4272,71.7189,81.32,34,0,6.91,UZ,2022-07-22 21:13:14
177,Torbay,47.6666,-52.7314,78.28,74,21,3.0,CA,2022-07-22 21:13:14
178,Aswan,24.0934,32.907,90.09,16,53,13.24,EG,2022-07-22 21:13:15
179,Halifax,44.6453,-63.5724,87.69,78,30,8.99,CA,2022-07-22 21:09:59
180,Fortuna,40.5982,-124.1573,71.92,68,8,1.99,US,2022-07-22 21:12:03
181,Kupang,-10.1667,123.5833,69.98,79,92,9.33,ID,2022-07-22 21:13:15
182,Kampong Thum,12.7111,104.8887,76.03,93,99,4.09,KH,2022-07-22 21:14:16
183,Cidreira,-30.1811,-50.2056,63.1,94,97,2.3,BR,2022-07-22 21:14:17
184,Yulara,-25.2406,130.9889,54.43,40,5,8.9,AU,2022-07-22 21:14:17
185,Cockburn Town,21.4612,-71.1419,78.76,83,75,16.11,TC,2022-07-22 21:14:18
186,Saldanha,-33.0117,17.9442,57.25,89,100,4.12,ZA,2022-07-22 21:13:02
187,Constitucion,-35.3333,-72.4167,57.25,86,16,9.19,CL,2022-07-22 21:14:19
188,Tuktoyaktuk,69.4541,-133.0374,57.42,65,77,6.49,CA,2022-07-22 21:14:19
189,Port Blair,11.6667,92.75,77.04,100,100,2.3,IN,2022-07-22 21:14:20
190,Yilan,24.757,121.753,84.9,99,9,4.0,TW,2022-07-22 21:14:20
191,Sur,22.5667,59.5289,87.21,67,97,9.73,OM,2022-07-22 21:14:21
192,Millinocket,45.6573,-68.7098,88.41,40,20,6.91,US,2022-07-22 21:14:21
193,Hirara,24.8,125.2833,84.88,77,75,14.83,JP,2022-07-22 21:14:22
194,Kloulklubed,7.0419,134.2556,82.9,75,84,8.46,PW,2022-07-22 21:14:22
195,Pevek,69.7008,170.3133,32.49,89,100,3.87,RU,2022-07-22 21:13:33
196,Khatanga,71.9667,102.5,43.38,89,100,15.32,RU,2022-07-22 21:14:23
197,Abalak,58.1286,68.5944,51.73,95,12,5.26,RU,2022-07-22 21:14:23
198,Nanakuli,21.3906,-158.1547,84.15,57,75,12.66,US,2022-07-22 21:14:24
199,Riyadh,24.6877,46.7219,93.34,18,27,8.37,SA,2022-07-22 21:13:45
200,Vila,42.0304,-8.1588,62.71,69,0,5.91,PT,2022-07-22 21:14:24
201,Viedma,-40.8135,-62.9967,46.9,51,98,2.89,AR,2022-07-22 21:11:07
202,Karratha,-20.7377,116.8463,68.41,61,0,9.31,AU,2022-07-22 21:14:25
203,Port Hedland,-20.3167,118.5667,64.45,100,75,6.91,AU,2022-07-22 21:14:26
204,Lata,40.1629,-8.3327,60.67,85,7,2.77,PT,2022-07-22 21:14:26
205,Maues,-3.3836,-57.7186,79.99,78,100,2.28,BR,2022-07-22 21:10:48
206,Piacabucu,-10.4056,-36.4344,74.07,83,29,9.33,BR,2022-07-22 21:14:27
207,Hithadhoo,-0.6,73.0833,81.72,73,100,7.78,MV,2022-07-22 21:14:18
208,Fort Nelson,58.8053,-122.7002,75.97,29,11,4.21,CA,2022-07-22 21:14:17
209,Esperance,-33.8667,121.9,54.23,72,94,16.67,AU,2022-07-22 21:14:28
210,Havre-Saint-Pierre,50.2334,-63.5986,68.36,88,75,9.22,CA,2022-07-22 21:13:35
211,Key Largo,25.0865,-80.4473,88.0,55,100,11.16,US,2022-07-22 21:10:33
212,Mahon,39.8885,4.2658,79.36,83,0,4.61,ES,2022-07-22 21:13:13
213,Touros,-5.1989,-35.4608,76.23,84,100,14.32,BR,2022-07-22 21:13:00
214,Moshupa,-24.7782,25.4155,59.05,53,55,2.55,BW,2022-07-22 21:14:29
215,Clyde River,70.4692,-68.5914,54.18,52,100,5.37,CA,2022-07-22 21:14:29
216,Kiama,-34.6833,150.8667,57.0,94,79,4.65,AU,2022-07-22 21:14:30
217,Souillac,-20.5167,57.5167,66.58,88,75,6.91,MU,2022-07-22 21:14:31
218,Puerto Escondido,15.85,-97.0667,85.42,68,100,6.04,MX,2022-07-22 21:14:31
219,Nantucket,41.2835,-70.0995,87.94,65,0,9.22,US,2022-07-22 21:13:06
220,Saint George,37.1041,-113.5841,108.95,13,0,10.36,US,2022-07-22 21:09:50
221,Piacenza,45.0468,9.6994,77.97,48,5,4.65,IT,2022-07-22 21:14:32
222,Labuan,5.2767,115.2417,80.47,81,100,5.68,MY,2022-07-22 21:14:33
223,Sao Filipe,14.8961,-24.4956,75.42,80,85,4.09,CV,2022-07-22 21:14:33
224,Ahipara,-35.1667,173.1667,51.01,80,100,8.05,NZ,2022-07-22 21:14:34
225,Asau,46.4333,26.4,72.95,71,5,4.43,RO,2022-07-22 21:14:34
226,Vila Velha,-20.3297,-40.2925,75.15,86,20,8.05,BR,2022-07-22 21:12:18
227,San Ramon,37.7799,-121.978,97.81,36,0,14.97,US,2022-07-22 21:12:12
228,Antofagasta,-23.65,-70.4,58.28,79,99,8.59,CL,2022-07-22 21:14:35
229,Seoul,37.5683,126.9778,72.97,94,75,4.61,KR,2022-07-22 21:15:35
230,Tashtyp,52.7939,89.8983,51.96,96,81,4.05,RU,2022-07-22 21:15:36
231,Sarahan,31.5167,77.8,65.53,95,100,0.54,IN,2022-07-22 21:15:36
232,Brae,60.3964,-1.353,51.44,76,100,8.3,GB,2022-07-22 21:15:37
233,Port Pirie,-33.1833,138.0167,53.64,76,40,7.2,AU,2022-07-22 21:15:38
234,Cranbrook,49.4999,-115.7688,84.04,21,75,12.66,CA,2022-07-22 21:15:38
235,Lima,-12.0432,-77.0282,59.25,77,100,6.91,PE,2022-07-22 21:13:30
236,Thompson,55.7435,-97.8558,59.16,77,100,5.75,CA,2022-07-22 21:15:39
237,Maniitsoq,65.4167,-52.9,44.96,88,82,4.32,GL,2022-07-22 21:15:39
238,Mahates,10.2329,-75.1899,84.09,80,100,5.95,CO,2022-07-22 21:15:39
239,Payakumbuh,-0.2202,100.6308,69.55,98,98,0.67,ID,2022-07-22 21:15:40
240,Ejido,8.5514,-71.2375,73.65,84,94,4.14,VE,2022-07-22 21:15:40
241,Teknaf,20.8624,92.3058,78.84,90,100,1.19,BD,2022-07-22 21:15:41
242,Cayenne,4.9333,-52.3333,84.24,14,0,5.01,GF,2022-07-22 21:14:55
243,Pindiga,9.9833,10.9333,73.0,83,88,6.06,NG,2022-07-22 21:15:41
244,Loandjili,-4.7561,11.8578,68.94,89,62,3.24,CG,2022-07-22 21:15:42
245,Wanning,18.8003,110.3967,78.19,88,8,3.62,CN,2022-07-22 21:15:43
246,Saint-Pierre,-21.3393,55.4781,69.91,76,40,8.05,RE,2022-07-22 21:15:43
247,Kjollefjord,70.9457,27.3465,53.42,87,75,12.66,NO,2022-07-22 21:15:44
248,Roald,62.5833,6.1333,57.0,87,40,16.11,NO,2022-07-22 21:15:44
249,Aksarka,66.5606,67.7975,45.99,94,100,7.25,RU,2022-07-22 21:15:45
250,Januaria,-15.4833,-44.3667,75.33,38,0,2.95,BR,2022-07-22 21:15:45
251,Coquimbo,-29.9533,-71.3436,55.13,87,100,5.75,CL,2022-07-22 21:15:46
252,Orsha,54.5153,30.4053,61.05,83,1,1.54,BY,2022-07-22 21:15:47
253,Tual,-5.6667,132.75,77.54,76,100,15.03,ID,2022-07-22 21:15:47
254,Tangshan,39.6333,118.1833,72.18,81,100,4.61,CN,2022-07-22 21:15:48
255,Sitka,57.0531,-135.33,55.29,76,100,9.22,US,2022-07-22 21:15:48
256,Zabid,14.1951,43.3152,90.91,47,79,8.86,YE,2022-07-22 21:15:49
257,Arlit,18.7369,7.3853,101.5,13,60,6.24,NE,2022-07-22 21:15:49
258,Quzhou,28.9594,118.8686,80.17,73,16,3.94,CN,2022-07-22 21:15:50
259,Vezirkopru,41.1436,35.4547,66.69,83,21,1.45,TR,2022-07-22 21:15:50
260,Klaksvik,62.2266,-6.589,50.92,82,100,7.58,FO,2022-07-22 21:15:51
261,Bakewar,26.6667,79.1833,83.77,76,100,8.97,IN,2022-07-22 21:15:51
262,Luang Prabang,19.8856,102.1347,72.19,100,98,1.41,LA,2022-07-22 21:15:52
263,Laguna,38.421,-121.4238,101.32,22,0,6.91,US,2022-07-22 21:13:54
264,Kalmunai,7.4167,81.8167,78.73,87,100,4.85,LK,2022-07-22 21:15:53
265,Akyab,20.15,92.9,76.33,93,100,18.16,MM,2022-07-22 21:15:53
266,Santa Cruz De La Palma,28.6835,-17.7642,73.54,78,45,16.11,ES,2022-07-22 21:15:54
267,Cordoba,-31.4135,-64.1811,71.76,50,0,5.75,AR,2022-07-22 21:15:27
268,Ojinaga,29.5667,-104.4167,103.15,29,40,9.22,MX,2022-07-22 21:12:22
269,Pekan Nenas,1.51,103.5141,78.78,95,75,2.15,MY,2022-07-22 21:15:55
270,Port Keats,-14.25,129.55,61.25,32,44,6.26,AU,2022-07-22 21:11:07
271,Coruripe,-10.1256,-36.1756,73.54,86,57,10.29,BR,2022-07-22 21:15:56
272,Castro,-24.7911,-50.0119,61.99,67,68,3.6,BR,2022-07-22 21:15:56
273,Hay River,60.8156,-115.7999,66.18,72,75,10.36,CA,2022-07-22 21:15:09
274,Alyangula,-13.8483,136.4192,64.26,66,98,9.89,AU,2022-07-22 21:13:37
275,Dhidhdhoo,6.8833,73.1,81.66,77,100,16.44,MV,2022-07-22 21:16:57
276,Pachperwa,27.5167,82.65,84.15,71,100,14.29,IN,2022-07-22 21:16:58
277,Nokaneng,-19.6667,22.2667,64.74,41,64,6.31,BW,2022-07-22 21:16:59
278,San Pedro,14.35,121.0167,79.83,88,40,3.44,PH,2022-07-22 21:16:59
279,Saskylakh,71.9167,114.0833,50.0,64,95,7.87,RU,2022-07-22 21:13:12
280,Sterling,39.0062,-77.4286,96.4,49,40,11.5,US,2022-07-22 21:16:27
281,Mahuva,21.0914,71.7622,79.88,85,100,14.56,IN,2022-07-22 21:17:00
282,Vargem Grande Do Sul,-21.8322,-46.8936,73.85,38,9,5.97,BR,2022-07-22 21:17:00
283,Xuddur,4.1213,43.8894,72.61,65,64,19.01,SO,2022-07-22 21:17:01
284,Aklavik,68.2191,-135.0107,73.4,49,75,3.44,CA,2022-07-22 21:17:02
285,Polyarnyy,69.1989,33.4478,50.65,90,37,3.67,RU,2022-07-22 21:17:02
286,Margate,51.3813,1.3862,64.31,80,65,1.99,GB,2022-07-22 21:15:08
287,Bolton,53.5833,-2.4333,62.26,94,96,7.02,GB,2022-07-22 21:17:03
288,Hervey Bay,-25.2986,152.8535,63.45,75,100,18.92,AU,2022-07-22 21:17:04
289,Zhezkazgan,47.8043,67.7144,72.79,30,4,9.62,KZ,2022-07-22 21:17:04
290,Ukiah,39.1502,-123.2078,99.45,20,0,9.22,US,2022-07-22 21:12:05
291,Skjervoy,70.0311,20.9714,51.8,85,100,19.66,NO,2022-07-22 21:13:59
292,Kabompo,-13.5927,24.2008,63.68,40,44,6.22,ZM,2022-07-22 21:17:05
293,Estelle,29.8458,-90.1067,93.99,81,100,10.36,US,2022-07-22 21:17:05
